road_name,room_count,house_type,mt_sq,constr_year,discount,price,postal_code,price_mt_sq,date,sale_type
Bakkevænget 1,4,Sommerhus,50,1966,-0.11,61e4,4500 Nykøbing Sj,12200,2016-08-18,Alm. Salg
Sortspættevej 11,3,Sommerhus,93,1975,NA,645440,4500 Nykøbing Sj,6940,2016-08-18,Fam. Salg
Ved Skoven 19,3,Sommerhus,84,2014,-0.05,17e5,4500 Nykøbing Sj,20238,2016-08-18,Alm. Salg
Musvitvej 3,4,Sommerhus,101,2017,-0.19,4e5,4500 Nykøbing Sj,3960,2016-08-17,Alm. Salg
Strandmosevej 24,2,Sommerhus,36,1937,-0.05,105e4,4500 Nykøbing Sj,29166,2016-08-17,Alm. Salg
Bøsserup Vænge 7,1,Sommerhus,26,2015,NA,47e4,4500 Nykøbing Sj,18076,2016-08-17,Alm. Salg
Sigynsalle 3,3,Sommerhus,51,1970,NA,9e5,4500 Nykøbing Sj,17647,2016-08-16,Fam. Salg
Skovvej 23,3,Sommerhus,50,1969,-0.05,785e3,4500 Nykøbing Sj,15700,2016-08-15,Alm. Salg
Udlodden 22,3,Sommerhus,69,2004,0,1275e3,4500 Nykøbing Sj,18478,2016-08-13,Alm. Salg
Skovduevej 28,3,Sommerhus,40,1942,-0.17,7e5,4500 Nykøbing Sj,17500,2016-08-12,Alm. Salg
Egevænget 2,4,Sommerhus,58,1979,-0.06,75e4,4500 Nykøbing Sj,12931,2016-08-12,Alm. Salg
Klintvej 136,5,Sommerhus,93,2006,-0.03,14e5,4500 Nykøbing Sj,15053,2016-08-10,Alm. Salg
Klintehuse 18,3,Sommerhus,50,2008,-0.16,675e3,4500 Nykøbing Sj,13500,2016-08-05,Alm. Salg
Nakkehage Strandvej 35,3,Sommerhus,55,1964,-0.11,2e6,4500 Nykøbing Sj,36363,2016-08-04,Alm. Salg
Apotekerstien 25,3,Sommerhus,60,1968,0,845e3,4500 Nykøbing Sj,14083,2016-08-04,Alm. Salg
Bakkelodden 8,5,Sommerhus,90,1968,-0.24,3e5,4500 Nykøbing Sj,3333,2016-08-03,Alm. Salg
Enebærvej 4,4,Sommerhus,91,2007,-0.08,1655e3,4500 Nykøbing Sj,18186,2016-08-02,Alm. Salg
Fyrrelodden 2,2,Sommerhus,72,1970,-0.04,53e4,4500 Nykøbing Sj,7361,2016-08-01,Alm. Salg
Kirchheinersvej 52,4,Sommerhus,61,1996,-0.03,165e4,4500 Nykøbing Sj,27049,2016-08-01,Alm. Salg
Drosselholmvej 3,3,Sommerhus,60,1973,-0.08,735e3,4500 Nykøbing Sj,12250,2016-08-01,Alm. Salg
Rørvigvej 177,2,Sommerhus,35,1966,NA,4e5,4500 Nykøbing Sj,11428,2016-07-30,Alm. Salg
Linesvej 3,3,Sommerhus,65,1967,-0.05,805e3,4500 Nykøbing Sj,12384,2016-07-29,Alm. Salg
Gnaverstien 6,4,Sommerhus,72,1996,-0.03,102e4,4500 Nykøbing Sj,14166,2016-07-25,Alm. Salg
Nakkehage Strandvej 14,4,Sommerhus,62,1971,-0.11,125e4,4500 Nykøbing Sj,20161,2016-07-23,Alm. Salg
Musvitvej 8,3,Sommerhus,42,1969,NA,187e3,4500 Nykøbing Sj,4452,2016-07-23,Fam. Salg
Laur Nielsensvej 7,2,Sommerhus,21,1960,-0.25,41e4,4500 Nykøbing Sj,19523,2016-07-23,Alm. Salg
Kvædevej 5,2,Sommerhus,55,1942,-0.13,665e3,4500 Nykøbing Sj,12090,2016-07-22,Alm. Salg
Vinkelgårdsvej 13,3,Sommerhus,70,2001,-0.06,8e5,4500 Nykøbing Sj,11428,2016-07-20,Alm. Salg
Vedhammervej 4,11,Sommerhus,280,1777,NA,297396,4500 Nykøbing Sj,1062,2016-07-19,Alm. Salg
Drosselholm Skovvej 10,3,Sommerhus,78,1979,-0.04,56e4,4500 Nykøbing Sj,7179,2016-07-19,Alm. Salg
Vinkelgårdsvej 3,2,Sommerhus,30,1972,-0.08,43e4,4500 Nykøbing Sj,14333,2016-07-14,Alm. Salg
Bjerget 27,4,Sommerhus,143,2010,NA,2465e3,4500 Nykøbing Sj,17237,2016-07-14,Fam. Salg
Birkekrogen 12,3,Sommerhus,46,1975,NA,25e4,4500 Nykøbing Sj,5434,2016-07-13,Fam. Salg
Udlodden 37,3,Sommerhus,72,2003,NA,85e4,4500 Nykøbing Sj,11805,2016-07-12,Fam. Salg
Urtevej 5,3,Sommerhus,60,1972,NA,586500,4500 Nykøbing Sj,9775,2016-07-12,Fam. Salg
Linesvej 8,4,Sommerhus,75,1975,NA,7e5,4500 Nykøbing Sj,9333,2016-07-11,Fam. Salg
J P Smithsvej 6,4,Sommerhus,82,1967,-0.06,1315e3,4500 Nykøbing Sj,16036,2016-07-08,Alm. Salg
Askvej 10,3,Sommerhus,33,1996,-0.03,725e3,4500 Nykøbing Sj,21969,2016-07-07,Alm. Salg
Fr Schradersvej 5,6,Sommerhus,112,1974,0,55e5,4500 Nykøbing Sj,49107,2016-07-04,Alm. Salg
Brunhøj Lyngvej 3,2,Sommerhus,25,1978,NA,1295e3,4500 Nykøbing Sj,51800,2016-06-30,Alm. Salg
Søvænget 22,1,Sommerhus,21,1962,NA,175e3,4500 Nykøbing Sj,8333,2016-06-30,Alm. Salg
Drosselholm Skovvej 53,4,Sommerhus,77,1972,-0.08,64e4,4500 Nykøbing Sj,8311,2016-06-30,Alm. Salg
Øvej 1,4,Sommerhus,70,1975,-0.06,825e3,4500 Nykøbing Sj,11785,2016-06-29,Alm. Salg
Skærbyvangen 21A,5,Sommerhus,86,2005,-0.07,21e5,4500 Nykøbing Sj,24418,2016-06-28,Alm. Salg
Vibo Østvej 26,4,Sommerhus,89,1942,-0.06,235e4,4500 Nykøbing Sj,26404,2016-06-28,Alm. Salg
Østvej 18,3,Sommerhus,48,1944,-0.04,125e4,4500 Nykøbing Sj,26041,2016-06-27,Alm. Salg
Stormlyvej 6,4,Sommerhus,88,2008,NA,1225e3,4500 Nykøbing Sj,13920,2016-06-26,Alm. Salg
Bøgevej 6,4,Sommerhus,77,1971,0,395e3,4500 Nykøbing Sj,5129,2016-06-25,Alm. Salg
Østergårdsvej 15,3,Sommerhus,95,2005,-0.06,155e4,4500 Nykøbing Sj,16315,2016-06-23,Alm. Salg
Karsebakken 2,2,Sommerhus,60,1959,NA,278e3,4500 Nykøbing Sj,4633,2016-06-22,Auktion
Fårefoldvej 1,3,Sommerhus,60,1992,-0.07,1275e3,4500 Nykøbing Sj,21250,2016-06-21,Alm. Salg
Østerdalen 17,3,Sommerhus,60,1978,-0.09,63e4,4500 Nykøbing Sj,10500,2016-06-21,Alm. Salg
Borrelyngen 7,5,Sommerhus,105,1972,0,1995e3,4500 Nykøbing Sj,19e3,2016-06-21,Alm. Salg
Quistgaardsvej 3,2,Sommerhus,46,1952,-0.11,35e4,4500 Nykøbing Sj,7608,2016-06-20,Alm. Salg
Tangvej 15,6,Sommerhus,131,2017,NA,102e4,4500 Nykøbing Sj,7786,2016-06-20,Fam. Salg
Pilevangsvej 8,4,Sommerhus,84,1963,-0.05,9e5,4500 Nykøbing Sj,10714,2016-06-17,Alm. Salg
Egebjergvej 165,2,Sommerhus,72,1948,NA,108e4,4500 Nykøbing Sj,15e3,2016-06-17,Alm. Salg
Skovvej 50,3,Sommerhus,82,1969,0.04,515e3,4500 Nykøbing Sj,6280,2016-06-16,Alm. Salg
Ved Skoven 5,3,Sommerhus,42,1947,-0.11,35e4,4500 Nykøbing Sj,8333,2016-06-16,Alm. Salg
Lærkeengen 12,4,Sommerhus,72,1983,-0.08,1185e3,4500 Nykøbing Sj,16458,2016-06-16,Alm. Salg
Heimdalsalle 17,4,Sommerhus,50,1959,0.1,12e5,4500 Nykøbing Sj,24e3,2016-06-15,Alm. Salg
Vindingsvej 20,3,Sommerhus,45,2004,NA,735e3,4500 Nykøbing Sj,16333,2016-06-14,Alm. Salg
Agernvej 5,5,Sommerhus,80,1957,NA,525e3,4500 Nykøbing Sj,6562,2016-06-13,Fam. Salg
Bøsserup Strand 5,3,Sommerhus,46,1957,0,45e4,4500 Nykøbing Sj,9782,2016-06-12,Alm. Salg
Rughavevej 6,3,Sommerhus,71,2007,-0.01,39e4,4500 Nykøbing Sj,5492,2016-06-12,Alm. Salg
Udsigtsvangen 11,5,Sommerhus,63,1952,NA,824500,4500 Nykøbing Sj,13087,2016-06-09,Fam. Salg
Kildevej 1,2,Sommerhus,41,1962,NA,108e4,4500 Nykøbing Sj,26341,2016-06-09,Alm. Salg
Lostien 24,4,Sommerhus,64,1977,-0.07,695e3,4500 Nykøbing Sj,10859,2016-06-09,Alm. Salg
Tømrerbakken 3,6,Sommerhus,78,1965,NA,975e3,4500 Nykøbing Sj,12500,2016-06-09,Alm. Salg
Kristiansvej 2,4,Sommerhus,67,1972,0,895e3,4500 Nykøbing Sj,13358,2016-06-06,Alm. Salg
Klint Strandvej 6,4,Sommerhus,60,1958,NA,352500,4500 Nykøbing Sj,5875,2016-06-06,Andet
Skippervej 39,4,Sommerhus,68,1968,NA,287500,4500 Nykøbing Sj,4227,2016-06-06,Alm. Salg
Larsensvej 11,4,Sommerhus,63,1956,NA,85e4,4500 Nykøbing Sj,13492,2016-06-05,Alm. Salg
