road_name,room_count,house_type,mt_sq,constr_year,discount,price,postal_code,price_mt_sq,date,sale_type
"Wilkensvej 7, 1. mf",1,Lejlighed,35,1972,0.09,1085e3,2000 Frederiksberg,31e3,2016-07-05,Alm. Salg
"Finsensvej 41, 1. tv",3,Lejlighed,80,1932,NA,17e5,2000 Frederiksberg,21250,2016-07-05,Fam. Salg
"Mariendalsvej 50G, 5. th",2,Lejlighed,76,1995,NA,34e5,2000 Frederiksberg,44736,2016-07-05,Alm. Salg
Tesdorpfsvej 43B,4,Lejlighed,119,1977,-0.03,5315e3,2000 Frederiksberg,44663,2016-07-04,Alm. Salg
"Ane Katrines Vej 22, 3. th",3,Lejlighed,69,1932,NA,1425e3,2000 Frederiksberg,20652,2016-07-04,Fam. Salg
"A.D. Jørgensens Vej 73, 2. tv",2,Lejlighed,72,1991,NA,2e6,2000 Frederiksberg,27777,2016-07-04,Andet
"Munkensvej 2, 2. tv",2,Lejlighed,67,1908,NA,1495e3,2000 Frederiksberg,22313,2016-07-04,Fam. Salg
"Thurøvej 15, 3. th",3,Lejlighed,96,2016,NA,5412354,2000 Frederiksberg,56378,2016-07-04,Alm. Salg
"Borups Alle 150A, 3. th",3,Lejlighed,100,1918,-0.01,384e4,2000 Frederiksberg,38400,2016-07-04,Alm. Salg
"Thurøvej 13, 4. th",4,Lejlighed,155,2016,NA,7960884,2000 Frederiksberg,51360,2016-07-04,Alm. Salg
"Thurøvej 13, 1. tv",4,Lejlighed,117,2016,NA,5936398,2000 Frederiksberg,50738,2016-07-04,Alm. Salg
"Thurøvej 15, 1. th",3,Lejlighed,97,2016,NA,4891684,2000 Frederiksberg,50429,2016-07-04,Alm. Salg
"Thurøvej 13, 4. tv",7,Lejlighed,177,2016,NA,10435258,2000 Frederiksberg,58956,2016-07-04,Alm. Salg
"Thurøvej 15, st. th",3,Lejlighed,101,2016,NA,4608214,2000 Frederiksberg,45625,2016-07-04,Alm. Salg
"Thurøvej 15, 4",5,Lejlighed,152,2016,NA,8241043,2000 Frederiksberg,54217,2016-07-04,Alm. Salg
"Thurøvej 15, 2. th",4,Lejlighed,97,2016,NA,5154169,2000 Frederiksberg,53135,2016-07-04,Alm. Salg
"Thurøvej 13, 2. tv",4,Lejlighed,117,2016,NA,6155339,2000 Frederiksberg,52609,2016-07-04,Alm. Salg
"Thurøvej 15, 2. tv",3,Lejlighed,100,2016,NA,5247802,2000 Frederiksberg,52478,2016-07-04,Alm. Salg
"Thurøvej 15, st. tv",3,Lejlighed,91,2016,NA,4312285,2000 Frederiksberg,47387,2016-07-04,Alm. Salg
"Mariendalsvej 11, 2. th",2,Lejlighed,58,1936,NA,205e4,2000 Frederiksberg,35344,2016-07-02,Alm. Salg
"Godthåbsvej 62C, 2. tv",2,Lejlighed,58,1897,NA,1175e3,2000 Frederiksberg,20258,2016-07-01,Fam. Salg
"Kong Georgs Vej 4, 3. th",3,Lejlighed,82,1898,NA,21e5,2000 Frederiksberg,25609,2016-07-01,Fam. Salg
"Pile Alle 5B, 1. 2",3,Lejlighed,83,1975,-0.08,32e5,2000 Frederiksberg,38554,2016-07-01,Alm. Salg
"Roskildevej 120, st. tv",3,Lejlighed,78,1953,-0.02,215e4,2000 Frederiksberg,27564,2016-07-01,Alm. Salg
"Munkensvej 6, 4. tv",2,Lejlighed,69,1908,NA,1147500,2000 Frederiksberg,16630,2016-07-01,Fam. Salg
"Dirch Passers Allé 3, 5. th",3,Lejlighed,86,2008,0,3395e3,2000 Frederiksberg,39476,2016-06-30,Alm. Salg
"Dalgas Boulevard 89, st. tv",3,Lejlighed,79,1932,0,2695e3,2000 Frederiksberg,34113,2016-06-30,Alm. Salg
"Roskildevej 122, 3. th",3,Lejlighed,78,1953,NA,21e5,2000 Frederiksberg,26923,2016-06-30,Fam. Salg
"Bispeengen 21, 2. tv",2,Lejlighed,82,1913,NA,1313431,2000 Frederiksberg,16017,2016-06-29,Andet
"Kong Georgs Vej 6A, 1. tv",4,Lejlighed,86,1898,-0.03,408e4,2000 Frederiksberg,47441,2016-06-29,Alm. Salg
"Aksel Møllers Have 8, 4. tv",2,Lejlighed,63,1944,NA,15e5,2000 Frederiksberg,23809,2016-06-29,Fam. Salg
"Nordre Fasanvej 118, 5",3,Lejlighed,69,1897,NA,1194e3,2000 Frederiksberg,17304,2016-06-29,Alm. Salg
"Godthåbsvænget 31, 1. th",3,Lejlighed,91,1977,0,2795e3,2000 Frederiksberg,30714,2016-06-28,Alm. Salg
"Duevej 54, 1. tv",3,Lejlighed,71,1932,0.01,2775e3,2000 Frederiksberg,39084,2016-06-28,Alm. Salg
"Ved Andebakken 6, st. th",2,Lejlighed,59,1941,NA,2195e3,2000 Frederiksberg,37203,2016-06-27,Alm. Salg
"Lyøvej 7, 2. tv",3,Lejlighed,83,1932,-0.05,37e5,2000 Frederiksberg,44578,2016-06-27,Alm. Salg
"Nimbusparken 5, 4. 4",4,Lejlighed,109,2005,0,4795e3,2000 Frederiksberg,43990,2016-06-27,Alm. Salg
"Allegade 23C, 2",4,Lejlighed,93,1890,0,4295e3,2000 Frederiksberg,46182,2016-06-27,Alm. Salg
"Nordre Fasanvej 158, 2. tv",2,Lejlighed,86,1913,NA,2113550,2000 Frederiksberg,24576,2016-06-26,Alm. Salg
"Wilkensvej 13, st. tv",3,Lejlighed,86,1979,-0.01,305e4,2000 Frederiksberg,35465,2016-06-24,Alm. Salg
"Howitzvej 59, 3. th",3,Lejlighed,85,1904,0,3695e3,2000 Frederiksberg,43470,2016-06-24,Alm. Salg
"Bernhard Bangs Alle 55, 3. th",2,Lejlighed,71,1936,NA,1552e3,2000 Frederiksberg,21859,2016-06-24,Fam. Salg
"Roarsvej 24, 3. tv",2,Lejlighed,57,1900,-0.04,26e5,2000 Frederiksberg,45614,2016-06-24,Alm. Salg
"Roskildevej 55, 1. 116",2,Lejlighed,67,1972,0,1998e3,2000 Frederiksberg,29820,2016-06-23,Alm. Salg
"Kronprinsesse Sofies Vej 17, st. tv",4,Lejlighed,127,1903,-0.02,61e5,2000 Frederiksberg,48031,2016-06-23,Alm. Salg
"Pile Alle 5H, 1. th",3,Lejlighed,93,1975,NA,406e4,2000 Frederiksberg,43655,2016-06-23,Fam. Salg
